"Month","Year","Consumer Confidence Index TX","Consumer Confidence West South Central","Consumer Confidence Index US","PCE Deflator","Consumer Price Index TX","Consumer Price Index U.S.","CPI U.S. Ex Food and Energy","Nonfarm Employment TX","Nonfarm Employment U.S.","Unemployment TX","Unemployment U.S.","Single Family Building Permits TX","Multi Family Building Permits TX","Existing Single Family Home Sales TX","Existing Single Family Home Price TX","Non Residential Building Construction","Total Sales Tax Collections Retail TX","Total Sales Tax Collections TX","Retail Gasoline Price TX","Retail Diesel Price TX","Nonfarm Employment Illinois","Nonfarm Employment Florida","Nonfarm Employment New York","Nonfarm Employment Texas","Nonfarm Employment California","Gross Value Crude Oil Production","Gross Value Natural Gas Production","Motor Fuel Taxed Gasoline","Motor Fuel Taxed Diesel"
"11","2011",,"91","55.2","104.999","205.256","226.23","226.859","10.647","132.72","7.3","8.6","4426","1668","15541","145000","1408.2","1003.9","2075","3.2","3.9","5693.7","7289.2","8706.6","10646.9","14517.9","$4100.19","$3047.89","1018.1","334.3"
"12","2011",,"78.108","64.757","105.018","204.622","225.672","226.74","10.676","132.927","7.2","8.5","4397","3733","17146","149900","1018.4","1025.5","1986.6","3.1","3.8","5701","7304.4","8727.8","10675.5","14548.9","$4339.62","$3034.56","989.5","318.9"
"1","2012",,"89.855","61.511","105.325","205.281","226.665","227.237","10.716","133.265","7.1","8.3","5230","4654","12527","138000","1050.1","888.3","2009.9","3.2","3.8","5717.8","7323.5","8744.7","10716","14602.8","$4552.64","$2757.83","1019.4","321.8"
"2","2012",,"90.2","71.6","105.56","207.208","227.663","227.865","10.738","133.522","6.9","8.3","5752","3268","15334","145000","898.1","906.8","2015.9","3.5","3.9","5724.3","7332.5","8770.2","10738","14614.8","$4454.25","$2279.25","964.9","322.3"
"3","2012",,"84","69.5","105.804","209.23","229.392","228.735","10.78","133.761","6.9","8.2","6385","4246","19924","152900","1222.5","898.8","1881.9","3.7","4","5742.7","7351.4","8786.9","10779.9","14658.2","$5020.93","$2378.41","956.9","314.3"
"4","2012",,"89.8","68.7","105.943","209.674","230.085","229.303","10.807","133.836","6.8","8.2","6839","3414","20660","155000","1032.2","975.3","2079.2","3.8","4","5739","7375.1","8777.5","10807.2","14672.8","$4906.96","$2139.99","1050.9","348.3"
"5","2012",,"90.4","64.4","105.868","209.036","229.815","229.602","10.835","133.951","6.8","8.2","7344","4624","24193","160000","1003.4","947.2","2102.7","3.5","3.9","5737.6","7376.6","8789.9","10835.2","14708.6","$4676.43","$2028.56","1018.9","328.8"
"6","2012","104.8","95.6","62.7","105.844","208.372","229.478","229.879","10.865","134.038","6.7","8.2","6821","4244","25307","163900","1450.6","943.4","1992.1","3.3","3.7","5746.9","7390.7","8785.8","10864.8","14758.4","$4011.27","$1961.60","1065.5","347.7"
"7","2012","93.7","92.6","65.4","105.88","207.881","229.104","229.893","10.88","134.181","6.6","8.2","6716","5017","24132","162000","1254.3","864.4","2056.8","3.3","3.6","5745.6","7397.5","8776.1","10879.6","14778.8","$4599.02","$2336.97","1038","338.8"
"8","2012","75.1","74.9","61.3","106.238","208.201","230.379","230.196","10.922","134.371","6.5","8.1","7195","7056","25786","159900","1292.7","981.4","2348.4","3.5","3.9","5760.5","7408","8796.3","10922.3","14803.3","$5100.41","$2573.92","1034.6","338.2"
