Month,Year,Consumer Confidence Index TX,Consumer Confidence West South Central,Consumer Confidence Index US,PCE Deflator,Consumer Price Index TX,Consumer Price Index U.S.,CPI U.S. Ex Food and Energy,Nonfarm Employment TX,Nonfarm Employment U.S.,Unemployment TX,Unemployment U.S.,Single Family Building Permits TX,Multi Family Building Permits TX,Existing Single Family Home Sales TX,Existing Single Family Home Price TX,Non Residential Building Construction,Total Sales Tax Collections Retail TX,Total Sales Tax Collections TX,Retail Gasoline Price TX,Retail Diesel Price TX,Nonfarm Employment Illinois,Nonfarm Employment Florida,Nonfarm Employment New York,Nonfarm Employment Texas,Nonfarm Employment California,Gross Value Crude Oil Production,Gross Value Natural Gas Production,Motor Fuel Taxed Gasoline,Motor Fuel Taxed Diesel
2,2011,,80.8,72,102.96599999999999,200.71299999999999,221.309,223.011,10.456,131.07,7.9,9,4237,2248,12603,144000,965.9,846.4,1756.1,3.1,3.5,5650,7210.5,8615.7999999999993,10455.9,14371.7,$2493.72,$2700.34,965.0,304.3
3,2011,,61.1,63.8,103.35599999999999,203.05699999999999,223.46700000000001,223.69,10.494,131.29499999999999,7.8,9,6355,2044,18237,142500,1309,808.4,1611.4,3.4,3.8,5659.9,7216.6,8626.9,10493.9,14371.3,$3473.44,$3056.62,884.4,284.7
4,2011,,69.506,66,103.80800000000001,204.96199999999999,224.90600000000001,224.11799999999999,10.534000000000001,131.64099999999999,7.8,9.1,5688,2578,18727,144500,1614.9,868.3,1874.2,3.7,4,5674.4,7251.3,8660.9,10534.1,14395.2,$3692.14,$3266.78,1039.3,336.7
5,2011,,78.548000000000002,61.7,104.14400000000001,205.68299999999999,225.964,224.53399999999999,10.537000000000001,131.714,7.8,9,5679,1256,20254,149000,1225.4000000000001,947,1958.6,3.8,4,5665.7,7239.6,8646.6,10537,14397.9,$3639.07,$3500.83,1006.6,321.3
6,2011,,75.5,57.6,104.179,204.94,225.72200000000001,224.89099999999999,10.558999999999999,131.94900000000001,7.8,9.1,5910,3532,22671,152000,1720,836,1729.9,3.5,3.9,5670.5,7232.1,8649,10559.2,14391.7,$3418.22,$3364.03,1026.9,322.7
7,2011,,78.900000000000006,59.2,104.38,205.04499999999999,225.922,225.16399999999999,10.593,132.01900000000001,7.8,9,5149,3206,20221,150368,976.3,844.7,1867.8,3.5,3.9,5679.3,7258.7,8684.1,10592.5,14442.2,$3617.08,$3565.15,1013.5,335.5
8,2011,,71.599999999999994,45.2,104.61799999999999,205.81100000000001,226.54499999999999,225.874,10.609,132.126,7.7,9,5976,4362,21905,151000,1716.1,929.8,1982.9,3.5,3.8,5687.4,7259.2,8686.5,10608.7,14452.6,$3331.56,$3478.13,1016.9,306.2
9,2011,,69.3,46.4,104.78700000000001,206.00399999999999,226.88900000000001,226.28899999999999,10.625,132.37200000000001,7.6,9,5185,1830,18483,147408,937.6,811.3,1761.2,3.4,3.8,5689.3,7274,8692.9,10624.7,14484.2,$3323.95,$3239.87,1036.9,341.6
10,2011,,50.4,40.9,104.851,205.11099999999999,226.42099999999999,226.74299999999999,10.628,132.57400000000001,7.5,8.800000000000001,4744,3477,16396,145000,870.3,815.6,1881.5,3.3,3.7,5688.7,7278,8690,10628.4,14493.5,$3606.69,$3265.77,988.5,327.3
11,2011,,91,55.2,104.999,205.256,226.23,226.85900000000001,10.647,132.72,7.3,8.6,4426,1668,15541,145000,1408.2,1003.9,2075,3.2,3.9,5693.7,7289.2,8706.6,10646.9,14517.9,$4100.19,$3047.89,1018.1,334.3
12,2011,,78.108000000000004,64.757000000000005,105.018,204.62200000000001,225.672,226.74,10.676,132.92699999999999,7.2,8.5,4397,3733,17146,149900,1018.4,1025.5,1986.6,3.1,3.8,5701,7304.4,8727.7999999999993,10675.5,14548.9,$4339.62,$3034.56,989.5,318.9
1,2012,,89.855000000000004,61.511000000000003,105.325,205.28100000000001,226.66499999999999,227.23699999999999,10.715999999999999,133.26499999999999,7.1,8.300000000000001,5230,4654,12527,138000,1050.0999999999999,888.3,2009.9,3.2,3.8,5717.8,7323.5,8744.7000000000007,10716,14602.8,$4552.64,$2757.83,1019.4,321.8
2,2012,,90.2,71.599999999999994,105.56,207.208,227.66300000000001,227.86500000000001,10.738,133.52199999999999,6.9,8.300000000000001,5752,3268,15334,145000,898.1,906.8,2015.9,3.5,3.9,5724.3,7332.5,8770.2000000000007,10738,14614.8,$4454.25,$2279.25,964.9,322.3
3,2012,,84,69.5,105.804,209.23,229.392,228.73500000000001,10.78,133.761,6.9,8.199999999999999,6385,4246,19924,152900,1222.5,898.8,1881.9,3.7,4,5742.7,7351.4,8786.9,10779.9,14658.2,$5020.93,$2378.41,956.9,314.3
4,2012,,89.8,68.7,105.943,209.67400000000001,230.08500000000001,229.303,10.807,133.83600000000001,6.8,8.199999999999999,6839,3414,20660,155000,1032.2,975.3,2079.1999999999998,3.8,4,5739,7375.1,8777.5,10807.2,14672.8,$4906.96,$2139.99,1050.9,348.3
5,2012,,90.4,64.400000000000006,105.86799999999999,209.036,229.815,229.602,10.835000000000001,133.95099999999999,6.8,8.199999999999999,7344,4624,24193,160000,1003.4,947.2,2102.6999999999998,3.5,3.9,5737.6,7376.6,8789.9,10835.2,14708.6,$4676.43,$2028.56,1018.9,328.8
6,2012,104.8,95.6,62.7,105.84399999999999,208.37200000000001,229.47800000000001,229.87899999999999,10.865,134.03800000000001,6.7,8.199999999999999,6821,4244,25307,163900,1450.6,943.4,1992.1,3.3,3.7,5746.9,7390.7,8785.7999999999993,10864.8,14758.4,$4011.27,$1961.60,1065.5,347.7
7,2012,93.7,92.6,65.400000000000006,105.88,207.881,229.10400000000001,229.893,10.88,134.18100000000001,6.6,8.199999999999999,6716,5017,24132,162000,1254.3,864.4,2056.8000000000002,3.3,3.6,5745.6,7397.5,8776.1,10879.6,14778.8,$4599.02,$2336.97,1038.0,338.8
8,2012,75.099999999999994,74.900000000000006,61.3,106.238,208.20099999999999,230.37899999999999,230.196,10.922000000000001,134.37100000000001,6.5,8.1,7195,7056,25786,159900,1292.7,981.4,2348.4,3.5,3.9,5760.5,7408,8796.2999999999993,10922.3,14803.3,$5100.41,$2573.92,1034.6,338.2
9,2012,83.7,78.5,68.400000000000006,106.57599999999999,209.45099999999999,231.40700000000001,230.78,10.955,134.55199999999999,6.5,7.8,5929,3147,19965,157500,1393.7,864.7,1966.3,3.6,4,5769.4,7423.4,8816.2000000000007,10955.3,14823.3,$5106.95,$2324.52,1063.7,355.0
10,2012,92,84.2,73.099999999999994,106.886,209.04400000000001,231.31700000000001,231.27600000000001,10.98,134.684,6.4,7.8,6593,5008,20919,155000,1372.2,860.4,2036.6,3.5,4,5763.6,7448.5,8829.7999999999993,10980,14863.9,$5227.06,$2629.16,993.1,331.5
11,2012,103.2,97.8,71.5,106.768,208.036,230.221,231.26300000000001,11.009,134.833,6.4,7.7,5618,3983,19024,158000,1151.9000000000001,1080.4000000000001,2346.4,3.2,3.9,5778.6,7459.4,8803.4,11009.3,14900,$5043.81,$2765.76,1047.3,386.9
12,2012,99.6,95.9,66.7,106.758,207.40199999999999,229.601,231.03299999999999,11.037000000000001,135.07599999999999,6.4,7.9,5111,5596,19456,161000,1436.4,1033.5,2172.8000000000002,3.1,3.9,5778.5,7469.4,8844,11037.4,14924.4,$5140.10,$2820.73,1008.4,310.8
1,2013,96.1,95.3,58.4,106.922,208.386,230.28,231.61199999999999,11.042,135.26599999999999,6.4,8,6596,4034,15590,148500,1307.4000000000001,965.8,2133.5,3.2,3.8,5781.1,7485,8852.9,11041.9,14965.1,$5582.28,$2693.84,1018.1,325.9
2,2013,93.8,87.3,68,107.333,210.58099999999999,232.166,232.43199999999999,11.098000000000001,135.577,6.4,7.7,6644,4721,17474,155000,945.4,878.9,2091.4,3.5,4,5793.6,7507.3,8870.7000000000007,11097.6,15004.2,$5166.71,$2470.36,973.2,329.4
3,2013,99.7,90.1,61.9,107.244,211.35900000000001,232.773,233.05199999999999,11.127000000000001,135.71199999999999,6.4,7.5,7471,4021,23433,162500,1335.6,990.2,1986.5,3.6,4,5793.2,7521.2,8889.1,11127,15035.5,$6059.01,$2796.89,933.7,289.5
